"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
1100016274,"858c1c6c-f762-11e1-a439-00145eb45e9a",10.702778,47.569168,NA,1963,6,29,"Germany","M-0042012 / 7422 / 4693","Doppelbaur, Hans","SNSB-M","BSMlichfungicoll","Bayern, Schwaben, Kreis Füssen: Bleckenau am Weg zum Rothmoos, auf Fagus in der Krone, 1250 m","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/ni5yho accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ni5yho"
1099106005,"7ba21c92-f762-11e1-a439-00145eb45e9a",-7.642879,40.578587,NA,1963,9,3,"Portugal","M-0196114 / 580819 / 252669","Tavares, C.","SNSB-M","BSMlichenscoll","Beira Alta - Abrunhosa-a-Velha: Casal de S. Sebastião, circ. 430 m. s. m.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
1273866916,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-7.8709,40.79887,"Viseu",1963,9,3,"Portugal","1885194","C. N. Tavares","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1085524,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.20842,57.40638,"Småland",1962,5,24,"Sweden","1055089","Erik Evers","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
2247699686,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.24643,57.46956,"Småland",1962,5,24,"Sweden","1945713","Erik Evers","LD","General","Bergsmåla","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
919150852,"7948250c-6958-4a29-a670-ed1015b26252",7.5108,58.2136,"Vest-Agder",1962,6,5,"Norway","12210","Håkon Damsgaard","O","L","Marnadal stasjon, Øyslebo","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1099104851,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.762931,47.547382,NA,1961,10,24,"Germany","M-0103161 / 538099 / 221202","Schauer, T.","SNSB-M","BSMlichenscoll","Bleckenau bei Hohenschwangau Füssen, 1200 m.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
1212253550,"85739778-f762-11e1-a439-00145eb45e9a",8.4333,48.6333,NA,1960,11,28,"Germany","179582","H. Reznik","B","Lichen Herbarium Berlin","GERMANY, Baden-Württemberg: Nordschwarzwald, Gompelscheuer in Enztal valley.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
919002461,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.411383,47.724717,NA,1959,8,3,"Austria","9155",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Salzburger Alpen, Zinkenbachklamm unweit des Wolfgangsee's","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1099106012,"7ba21c92-f762-11e1-a439-00145eb45e9a",22.716637,49.083359,NA,1958,7,27,"Poland","M-0196141 / 580846 / 252696","Glanc, K.","SNSB-M","BSMlichenscoll","Bieszczady Zachodnie, północne zbocze Falowej. Na korze w koronie jodły na skraju lasu bukowego. Montes Bieszczady Zachodnie in septentrionali declivitate montis Falowa. 750 m.s.m.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
1273867076,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.22597,49.96282,"Podkarpackie",1958,7,27,"Poland","1887576","K. Glanc","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1099105997,"7ba21c92-f762-11e1-a439-00145eb45e9a",16.337872,50.473305,NA,1957,9,19,"Poland","M-0196128 / 580833 / 252683","Tobolewski, Z.R.","SNSB-M","BSMlichenscoll","Pieniny (pow. Nowy Targ), pasmo Pieninek. Na pniu i galęziach jodły poniżej Białych Skał. - Carpati Occ., iugum Pieniny, prope rupes Białe Skały. 670 m. s. m.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
