"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","notes","citation","doi"
1291921201,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.134905,58.021715,2016,3,22,"Estonia","Lõupõllu küla, Sopi mets","TU77593","Maarja Nõmm","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1324743675,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.20275,59.59247,2016,4,9,"Norway","Tussadalsvegen, Kalavåg","99675","Johnsen, J.I.","BG","Hordaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1440673592,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.480392,59.789847,2016,6,7,"Norway","Løning V","JK16-303","Klepsland, Jon T.","BioFokus","Hordaland","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013151514,"7948250c-6958-4a29-a670-ed1015b26252",5.4804,59.7898,2016,6,7,"Norway","Løning V","222457","Jon T. Klepsland","O","Hordaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1340040424,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.71053,55.98004,2016,7,1,"Sweden","Göingeholm 2","1886013","Arne Thell, Ulf Schiefelbein & Ute Schiefelbein","LD",NA,"General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1676079733,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.01725,47.960633,2016,9,15,"France","bei Gerbholz, s von Mittlach über dem Tal des Vorderen Salzbaches","49095-771",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676079690,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.37445,48.95825,2015,3,28,"Germany","Nationalpark Bayerischer Wald, ca. 5 km NNE von Spiegelau und 4,5 km NE von Althütte, Forstabteilung Schönort, Transekt 2 E der Schwarzachstraße, 15 m W von Aufnahmefläche 8, Baum-Nr. 99-5","263840",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676079694,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.374433,48.95805,2015,3,28,"Germany","Nationalpark Bayerischer Wald, ca. 5 km NNE von Spiegelau und 4,5 km NE von Althütte, Forstabteilung Schönort, Transekt 2 E der Schwarzachstraße, 5 m W von Aufnahmefläche 10, Baum-Nr. 99-2","263801",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2399401032,"b124e1e0-4755-430f-9eab-894f25a9b59c",6.110691,58.854872,2015,3,9,"Norway","Hajen, Gjesdal, Ro","11567802","Endre Nygaard","nbf","Rogaland","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1262420283,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.125694,61.04998,2015,7,15,"Norway","Brossvikvatnet S (Skolten)","JK15-L523","Klepsland, Jon T.","BioFokus","Sogn og Fjordane","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1262420325,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.888047,61.053599,2015,7,19,"Norway","Sørebødalen","JK15-L570","Klepsland, Jon T.","BioFokus","Sogn og Fjordane","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1455758218,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.0108,61.6702,2015,7,27,"Norway","Støldalsvatnet nord, Urudalen","17139/1","Ulrike Hanssen","TRH","Sogn og Fjordane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2013150793,"7948250c-6958-4a29-a670-ed1015b26252",5.1257,61.05,2015,7,15,"Norway","Brossvikvatnet S (Skolten)","221796","Jon T. Klepsland","O","Sogn og Fjordane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013150851,"7948250c-6958-4a29-a670-ed1015b26252",5.888,61.0536,2015,7,19,"Norway","Sørebødalen","221839","Jon T. Klepsland","O","Sogn og Fjordane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
