"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
1675788280,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.401383,43.313333,NA,2013,6,24,"France","42497",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Laxiatal bei Itxassou, kurz vor der Mündung in die Nive","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788281,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.631583,43.31395,NA,2013,6,25,"France","42645",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","La Rhune (Berg), Nordseite","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1041902225,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.5599,58.6806,"Rogaland",2013,9,13,"Norway","652038/1","Harald Vik-Mo","TRH","L","Nærlandsparken.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1040971206,"7948250c-6958-4a29-a670-ed1015b26252",5.795,59.3453,"Rogaland",2013,10,7,"Norway","194671","Torbjørn Høitomt","O","L","Tveit vidaregåande skule","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1040971224,"7948250c-6958-4a29-a670-ed1015b26252",5.8869,58.7698,"Rogaland",2013,10,11,"Norway","194674","Torbjørn Høitomt","O","L","Limagarden","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1052816568,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.29805,50.910417,NA,2013,10,29,"Germany","38503",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Großer Zschand, beim Zeughaus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1054220598,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.794949,59.34529,"Rogaland",2013,10,7,"Norway","L1977Høi","Høitomt, Torbjørn","BioFokus","BioFokus","Tveit vidaregåande skule","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1054220602,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.886971,58.769813,"Rogaland",2013,10,11,"Norway","L1999Høi","Høitomt, Torbjørn","BioFokus","BioFokus","Limagarden","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1040971163,"7948250c-6958-4a29-a670-ed1015b26252",5.8148,58.9246,"Rogaland",2012,10,3,"Norway","194644","Tom H. Hofton","O","L","Li skog ved Riska","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1040971170,"7948250c-6958-4a29-a670-ed1015b26252",5.7806,58.8789,"Rogaland",2012,10,2,"Norway","194639","Tom H. Hofton","O","L","Vassfjellet NV","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1054020231,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.780589,58.878932,"Rogaland",2012,10,2,"Norway","THH12569","Hofton, Tom H.","BioFokus","BioFokus","Vassfjellet NV","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1054020309,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.814725,58.924643,"Rogaland",2012,10,3,"Norway","THH12575","Hofton, Tom H.","BioFokus","BioFokus","Li skog ved Riska","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1324741794,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.1851,58.83819,"Rogaland",2011,5,30,"Norway","96002","Johnsen, J.I. & Jordal, J.B.","BG","L","ved Dirdalsosen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
911979333,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,NA,2011,8,3,"Germany","29516",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Schipkau","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
