"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
29531997,"83492a58-f762-11e1-a439-00145eb45e9a",-2,38,1997,4,25,"Spain","Bienservida, Sierra de Alcaraz, Padrón de Bienservida","9465-1","G. Aragón, A. Herrero & I. Martínez","MA","MA-Lichen","Ab","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
29531998,"83492a58-f762-11e1-a439-00145eb45e9a",-2,38,1997,4,12,"Spain","Paterna del Madera, Sierra de Alcaraz, Calar de la Osera","9466-1","G. Aragón & I. Martínez","MA","MA-Lichen","Ab","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
31309330,"835f8992-f762-11e1-a439-00145eb45e9a",-2.68,38.169998,1997,6,18,"Spain","Pontones, Sierra de Segura, pico Aroca","8638-1","G. Aragón & I. Martínez","MAF","MAF-Lich","J","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Pizarro Domínguez J M (2020). Herbario, Departamento de Farmacología, Farmacognosia & Botánica, Facultad de Farmacia, Universidad Complutense, Madrid: MAF-Lich. Departamento de Farmacología, Farmacognosia & Botánica, Fac. de Farmacia, Univ. Complutense de Madrid. Occurrence dataset https://doi.org/10.15468/yvj3hr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/yvj3hr"
31309331,"835f8992-f762-11e1-a439-00145eb45e9a",-2.62,38.23,1997,6,19,"Spain","Segura de la Sierra, Sierra de Segura, río Madera","8639-1","G. Aragón & I. Martínez","MAF","MAF-Lich","J","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Pizarro Domínguez J M (2020). Herbario, Departamento de Farmacología, Farmacognosia & Botánica, Facultad de Farmacia, Universidad Complutense, Madrid: MAF-Lich. Departamento de Farmacología, Farmacognosia & Botánica, Fac. de Farmacia, Univ. Complutense de Madrid. Occurrence dataset https://doi.org/10.15468/yvj3hr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/yvj3hr"
152937776,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1997,8,10,"Slovenia","Snežnik","F1017157","Pruegger J.","ULBF-AGR","FloVegSI-FLO","Notranjska","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology. FloVegSI - Floristical and fitocenological database of ZRC SAZU. Occurrence dataset https://doi.org/10.15468/v3vxya accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/v3vxya"
31309332,"835f8992-f762-11e1-a439-00145eb45e9a",-2.6,38.279999,1997,9,10,"Spain","Orcera, Sierra de Segura, río Madera","8640-1","G. Aragón","MAF","MAF-Lich","J","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Pizarro Domínguez J M (2020). Herbario, Departamento de Farmacología, Farmacognosia & Botánica, Facultad de Farmacia, Universidad Complutense, Madrid: MAF-Lich. Departamento de Farmacología, Farmacognosia & Botánica, Fac. de Farmacia, Univ. Complutense de Madrid. Occurrence dataset https://doi.org/10.15468/yvj3hr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/yvj3hr"
152937784,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1997,10,3,"Slovenia","Snežnik","F1017165","Pruegger J.","ULBF-AGR","FloVegSI-FLO","Notranjska","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology. FloVegSI - Floristical and fitocenological database of ZRC SAZU. Occurrence dataset https://doi.org/10.15468/v3vxya accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/v3vxya"
31309329,"835f8992-f762-11e1-a439-00145eb45e9a",-2.79,38.040001,1997,11,4,"Spain","Santiago-Pontones, Sierra de Segura, río Aguamulas, cerca del cortijo del Mulón","8637-1","G. Aragón & I. Martínez","MAF","MAF-Lich","J","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Pizarro Domínguez J M (2020). Herbario, Departamento de Farmacología, Farmacognosia & Botánica, Facultad de Farmacia, Universidad Complutense, Madrid: MAF-Lich. Departamento de Farmacología, Farmacognosia & Botánica, Fac. de Farmacia, Univ. Complutense de Madrid. Occurrence dataset https://doi.org/10.15468/yvj3hr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/yvj3hr"
29539934,"83492a58-f762-11e1-a439-00145eb45e9a",-2,38,1996,1,5,"Spain","Riópar, Sierra del Calar del Mundo, subida a la Fuente de la Pedorrilla","7343-1","G. Aragón & I. Martínez","MA","MA-Lichen","Ab","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
2237864616,"84d26682-f762-11e1-a439-00145eb45e9a",11.73151,55.59318,1996,2,28,"Denmark","Nederskov ved Tølløse","DMS-1001997","Ulrik Søchting",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
