"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
1052816209,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.2985,50.898583,NA,2013,"10",29,"Germany","38540",NA,"FR","Großer Zschand","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,74,"Fellhanera bouteillei"
911957251,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.366667,50.8975,NA,2012,"10",22,"Germany","33893",NA,"FR","Elbsandsteingebirge, Kirnitzschklamm","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,75,"Fellhanera bouteillei"
911957253,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.10195,50.966667,NA,2012,"10",9,"Germany","34022",NA,"FR","Elbsandsteingebirge, mittleres Polenztal zwischen Gasthof Polenztal und Waltersdorfer Schleuse","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,77,"Fellhanera bouteillei"
911957248,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.8,52.675,NA,2011,"4",22,"Poland","35848",NA,"FR","Jagie&#322;ouska Droga im Walde südwestlich von Bialowieza","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,69,"Fellhanera bouteillei"
1212104651,"85739778-f762-11e1-a439-00145eb45e9a",6.5067,46.6633,NA,2007,"1",13,"Switzerland","109343","P. van der Knaap & J. van Leeuwen","B","SWITZERLAND: between Lac de Neuchatel and Lac Léman, between La Sarraz and Pomplades. Alt. 535 m.","Lichen Herbarium Berlin","GBIF",NA,91,"Fellhanera bouteillei"
1212103534,"85739778-f762-11e1-a439-00145eb45e9a",13.7683,53.0483,NA,2007,"3",24,"Germany","99034","H. Sipman, A. Aptroot & D. Heinrich","B","GERMANY, Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. W of Luisenau. Alt. 75 m.","Lichen Herbarium Berlin","GBIF",NA,85,"Fellhanera bouteillei"
NA,NA,6.611453,50.241247,NA,2005,"7-May",NA,"GERMANY","67666","H. Sipman","BERLIN_DB","GERMANY, Rheinland-Pfalz, Kr. Daun: Müllenborn NW of Gerolstein, Felssturz area. Alt. ca. 400 m.",NA,"BERLIN_DB","B 60 0129954",76,"Fellhanera bouteillei"
152924029,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,"Gorenjska",2002,"6",19,"Slovenia","F957785","Batič F., Mrak T.","ULBF-AGR","Stara Fužina","FloVegSI-FLO","GBIF",NA,43,"Fellhanera bouteillei"
1946694478,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,"5",24,"Slovakia","54462-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Flavoparmelia caperata"
1946694479,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,"5",25,"Slovakia","54602-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,83,"Flavoparmelia caperata"
1949713891,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,NA,2018,"5",21,"Slovakia","54384-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,107,"Flavoparmelia caperata"
2013824342,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.94075,48.2113,NA,2018,"5",23,"Slovakia","54421-771",NA,"FR","oberhalb von Pirsenstein (Hajnácka)","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,92,"Flavoparmelia caperata"
1945678166,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.821533,53.462083,NA,2018,"8",11,"Germany","54735-771",NA,"FR","Hamburg-Fischbek: Scharlbarg, am Schullandheim","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,86,"Flavoparmelia caperata"
2464717315,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657463,48.207441,NA,2018,"9",19,"Ukraine","CWU 203063","Alla Gromakova","CWU","Berehove city",NA,"GBIF",NA,99,"Flavoparmelia caperata"
