"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1657181336,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.63333,46.41389,NA,2003,"7",31,"Slovenia","000315441","Mayrhofer,Helmut, Jensen,M. & Trembley,M.","GZU","[Primorska] Southern Alps, Julian Alps, Koritnica valley NE of the village Log pod Mangartom","Herbarium GZU","GBIF",NA
1657181338,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.63333,46.41389,NA,2003,"7",31,"Slovenia","000315396","Mayrhofer,Helmut, Jensen,M. & Trembley,M.","GZU","[Primorska] Southern Alps, Julian Alps, Koritnica valley NE of the village Log pod Mangartom","Herbarium GZU","GBIF",NA
1657181430,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.55556,46.31944,NA,2003,"7",4,"Slovenia","000325441","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Cezsoča S of Bovec, SE above the village","Herbarium GZU","GBIF",NA
911958095,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.553883,46.3375,NA,2003,"8",1,"Slovenia","23801",NA,"FR","Julische Alpen, Bovec, Ortslage","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911958181,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.99805,46.101667,NA,2000,"8",19,"Switzerland","17922",NA,"FR","Le Tretien, im Ort","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1212103185,"85739778-f762-11e1-a439-00145eb45e9a",20.5667,47.9333,NA,1998,"8",3,"Hungary","56080","H. Sipman","B","HUNGARY, Bükk mountains. Kom. Borsod-Abaúj-Zemplén, Kerékköto S Sós-teto, 2 km NNE of Cserépváralja, steep, SW-exposed slope with light oak forest (Genisto pilosae-Quercetum) and siliceous rock outcrops, DU 61, alt. 200-300 m.","Lichen Herbarium Berlin","GBIF",NA
152925126,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,"Notranjska",1998,"10",25,"Slovenia","F1010876","Pruegger J., Surina B.","ULBF-AGR","Snežnik","FloVegSI-FLO","GBIF",NA
152925122,"89579e3e-f762-11e1-a439-00145eb45e9a",14.578631,45.699733,"Notranjska",1997,"10",3,"Slovenia","F1010872","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Babno polje","FloVegSI-FLO","GBIF",NA
152925748,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912012,46.199647,NA,1996,"5",24,"Slovenia","F780107","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925749,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912003,46.299635,NA,1996,"5",24,"Slovenia","F780117","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925750,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912012,46.199647,NA,1996,"5",24,"Slovenia","F780141","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925746,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745359,46.299628,NA,1996,"7",15,"Slovenia","F780001","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925751,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,NA,1996,"7",25,"Slovenia","F780144","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925752,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,NA,1996,"7",25,"Slovenia","F780153","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925754,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912012,46.199647,NA,1996,"7",20,"Slovenia","F780225","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925747,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,NA,1996,"8",15,"Slovenia","F780018","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1099934174,"858c1c6c-f762-11e1-a439-00145eb45e9a",14,48.25,NA,1996,"9",4,"Austria","M-0044986 / 477041 / 174560","Aptroot, A. (no. 39931)","SNSB-M","Oberösterreich, Schlögener Schlinge along the Donau, halfway between Linz and Passau. alt. c. 400 m on Quercus on Flavoparmelia caperata","BSMlichfungicoll","GBIF",NA
152925741,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745376,46.099652,NA,1995,"5",10,"Slovenia","F779745","Pruegger J.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925742,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745376,46.099652,NA,1995,"5",10,"Slovenia","F779747","Pruegger J.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925734,"89579e3e-f762-11e1-a439-00145eb45e9a",14.911842,46.59964,NA,1995,"9",27,"Slovenia","F778999","Mayrhofer H., Suppan U.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925738,"89579e3e-f762-11e1-a439-00145eb45e9a",15.578428,46.499681,NA,1995,"11",2,"Slovenia","F779282","Mayrhofer H.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1099934148,"858c1c6c-f762-11e1-a439-00145eb45e9a",15.883333,46.966667,NA,1994,"3",24,"Austria","M-0043883 / 10775 / 6789","Hafellner, J. (no. 49095)","SNSB-M","Austria. Steiermark Prov., Oststeirisches Hügelland, c. 5 km NW of Feldbach on the ridge between Edelsbach and Wetzeldorf. 46°59'N 15°51'E. Alt. 400 m.","BSMlichfungicoll","GBIF",NA
152925683,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,NA,1993,"4",6,"Slovenia","F775013","Koch M., Mayrhofer H., Unger E.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925681,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,NA,1993,"9",25,"Slovenia","F774818","Koch M., Mayrhofer H., Poelt J.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925693,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,NA,1992,"3",13,"Slovenia","F775515","Koch M., Mayrhofer H., Batič F., Belec Z.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925696,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,NA,1992,"3",13,"Slovenia","F775791","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925707,"89579e3e-f762-11e1-a439-00145eb45e9a",15.578437,46.399693,NA,1992,"5",12,"Slovenia","F776528","Batič F., Kruhar B.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925692,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,NA,1992,"8",10,"Slovenia","F775468","Koch M., Koch E.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925690,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411775,46.599662,NA,1992,"10",23,"Slovenia","F775415","Koch M., Koch E.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925691,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411775,46.599662,NA,1992,"10",25,"Slovenia","F775444","Koch M., Koch E.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1717230906,"8e93fad0-a705-11dc-80be-b8a03c50a862",22.68,54.33,"warmińsko-mazurskie",1991,"7",27,"Poland",NA,"M. Wojciechowska-Gutowska","UoB-IB","Osada Leśna",NA,"GBIF",NA
911958183,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.21445,48.666667,NA,1991,"9",21,"Germany","18316",NA,"FR","Filderstadt-Bernhausen, an der Straße nach Bolanden","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
152925700,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745426,45.499723,NA,1990,"1",17,"Slovenia","F776000","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925701,"89579e3e-f762-11e1-a439-00145eb45e9a",13.91207,45.49973,NA,1990,"1",17,"Slovenia","F776010","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152925702,"89579e3e-f762-11e1-a439-00145eb45e9a",13.91207,45.49973,NA,1990,"1",17,"Slovenia","F776016","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
