"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
1099107176,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.346645,47.516113,NA,1947,"5",26,"Germany","M-0196576 / 581234 / 253084","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern, Karwendelg. - Soierngruppe, Aufstieg zur Fischbachalm, ±1200 m.","GBIF",NA,51,"Usnea florida"
1099104983,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.003923,47.549583,NA,1947,"10",15,"Germany","M-0103155 / 538094 / 221197","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern: Ammergauer Alpen, Weg von der Notkarspitze nach Farchant.","GBIF",NA,57,"Usnea florida"
1099104840,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.895803,47.621948,NA,1947,"12",28,"Germany","M-0103156 / 580496 / 252347","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern bei Ettlerlehen oberh. Ramsau.","GBIF",NA,59,"Usnea florida"
NA,NA,9.108533,51.095168,NA,1938,"29-May",NA,"GERMANY","85044","F. Pusch","BERLIN_DB",NA,"DEUTSCHLAND, Hessen: Talgraben in the protected area ""Sondertal und Talgraben bei Bad Wildungen"" near Bad Wildungen.","BERLIN_DB","B 60 0132218",81,"Usnea florida"
NA,NA,6.829418,50.197155,NA,1936,"8.1936",NA,"Deutschland",NA,"Baschant","BERLIN_HTL",NA,"Eifel, Daun","BERLIN_HTL",NA,78,"Usnea florida"
152959784,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078647,46.299642,NA,1935,"4",2,"Slovenia","F774564","Dolšak F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA,71,"Usnea florida"
1099106018,"7ba21c92-f762-11e1-a439-00145eb45e9a",6.723354,45.37188,NA,1928,"9",NA,"France","M-0196140 / 580845 / 252695","Schmidt, A.","SNSB-M","BSMlichenscoll","Savoyische Alpen: Pralognan, Forêt d'Isertan.","GBIF",NA,3,"Usnea florida"
NA,NA,11.122195,47.46491,NA,1922,"17 Apr.",NA,"GERMANY","116384","Mixe in herb. V. J. Grummann","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Bayrische Alpen, Partnachklamm hinter Garmisch-Partenkirchen.","BERLIN_DB","",71,"Usnea florida"
1099104846,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.879496,48.96505,NA,1918,"8",NA,"Germany","M-0103171 / 538108 / 221211","Gerstlauer, L.","SNSB-M","BSMlichenscoll","Hirschenstein.","GBIF",NA,55,"Usnea florida"
1099107244,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.02305,47.554798,NA,1916,"8",11,"Germany","M-0196604 / 581241 / 253091","Hoock, G.","SNSB-M","BSMlichenscoll","Bayern, Oberstaufen; Zwischen den Alpen Raucheck & Siche, 1000 m.","GBIF",NA,67,"Usnea florida"
