"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
2449356639,"85739778-f762-11e1-a439-00145eb45e9a",15.5167,48.3833,NA,1960,"8",4,"Austria","179222","H. Reznik","B","AUSTRIA, Niederösterreich: Dürnstein in der Wachau, below the castle.","Lichen Herbarium Berlin","GBIF",NA,86,"Flavoparmelia caperata"
NA,NA,6.418315,49.855505,NA,1960,"30. Mai",NA,"GERMANY","97423","H. Breuer","BERLIN_DB","DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Ferschweiler, Güntherhof.",NA,"BERLIN_DB","B 60 0146363",87,"Flavoparmelia caperata"
1212104889,"85739778-f762-11e1-a439-00145eb45e9a",8.8333,49.3667,NA,1959,"6",14,"Germany","178691","H. Reznik","B","GERMANY, Baden-Württemberg: Nordbaden, Langenzell im Kraichgau. Alt. 195 m.","Lichen Herbarium Berlin","GBIF",NA,100,"Flavoparmelia caperata"
2449363321,"85739778-f762-11e1-a439-00145eb45e9a",13,46.6667,NA,1959,"7",14,"Austria","116125","V. J. Grummann","B","ÖSTERREICH, Kärnten: Gailtaler Alpen, Gailtal, Mauthen.","Lichen Herbarium Berlin","GBIF",NA,55,"Flavoparmelia caperata"
788604301,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",21.0812,52.30913,"Mazowieckie",1959,"8",22,"Poland","1363024","J. Zielinska","LD","No locality information available","General","GBIF",NA,79,"Flavoparmelia caperata"
NA,NA,8.184886,48.653598,NA,1959,"April",NA,"GERMANY","178778","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn oberhalb Neusatzeck. Alt. 700 m.",NA,"BERLIN_DB","B 60 0174602",78,"Flavoparmelia caperata"
2449363720,"85739778-f762-11e1-a439-00145eb45e9a",8.7167,49.4833,NA,1958,"10",26,"Germany","179216","H. Reznik","B","GERMANY, Baden-Württemberg: Nordbaden. Above Ursenbach in Odenwald, near Ludwigstal valley.","Lichen Herbarium Berlin","GBIF",NA,90,"Flavoparmelia caperata"
2449357608,"85739778-f762-11e1-a439-00145eb45e9a",8.1833,48.65,NA,1958,"12",28,"Germany","179221","H. Reznik","B","GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.","Lichen Herbarium Berlin","GBIF",NA,78,"Flavoparmelia caperata"
911958030,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.60805,48.336117,NA,1958,"12",21,"Germany","3934",NA,"FR","Mödishofen, am W-Rand des Filzes vor Dinkelscherben","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,83,"Flavoparmelia caperata"
NA,NA,8.694327,49.42497,NA,1958,"April",NA,"GERMANY","178683","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Heidelberg-Handschuhsheim, oberes Hellembachtal.",NA,"BERLIN_DB","B 60 0174501",97,"Flavoparmelia caperata"
