"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
1717204189,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.686029,50.227974,2003,"8",23,"Poland",NA,"Szczepańska, K.","MNHW","p: dolnośląskie; c: Kłodzko; Międzygórze",NA,"dolnośląskie","GBIF",NA,71,"Punctelia subrudecta"
1717205952,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.826168,50.230893,2003,"8",25,"Poland",NA,"Szczepańska, K.","MNHW","p: dolnośląskie; c: Kłodzko; Idzików",NA,"dolnośląskie","GBIF",NA,40,"Punctelia subrudecta"
NA,NA,13.289202,52.449384,2003,"21 Nov.",NA,"GERMANY","66325","H. Sipman & J.-G. Knoph","BERLIN_DB","DEUTSCHLAND, Berlin: Bez. Zehlendorf, Triest park, at corner Habelschwerdter Allee/Kaiserswerther Str. Alt. ca. 50 m.",NA,NA,"BERLIN_DB","",91,"Punctelia subrudecta"
1212197946,"85739778-f762-11e1-a439-00145eb45e9a",20.5167,47.9667,1998,"8",2,"Hungary","56054","H. Sipman","B","HUNGARY, Bükk mountains. Kom. Borsod-Abaúj-Zemplén, Hór valley, surroundings of Oszla, ca. 4 km N of Cserépfalu, DU 61, alt. 220-270 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Punctelia subrudecta"
152949346,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,1997,"6",5,"Slovenia","F779643","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,111,"Punctelia subrudecta"
152949349,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912012,46.199647,1997,"6",5,"Slovenia","F779684","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,85,"Punctelia subrudecta"
152949358,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912003,46.299635,1996,"5",24,"Slovenia","F780112","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,69,"Punctelia subrudecta"
152949314,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,1996,"10",11,"Slovenia","F777863","Surina B.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,58,"Punctelia subrudecta"
152949326,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911986,46.499611,1996,"10",13,"Slovenia","F778649","Surina B.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,55,"Punctelia subrudecta"
152949351,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745376,46.099652,1995,"5",10,"Slovenia","F779720","Pruegger J.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,93,"Punctelia subrudecta"
