"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,12.819813,47.67829,1989,"15. sept.",NA,"GERMANY","38642","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields.",NA,NA,"BERLIN_DB","",72,"Pyrenula nitida"
1099073606,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,1988,"9",9,"Germany","M-0161829 / 468311 / 188026","Deuter, H. (no. 0247)","SNSB-M","Germany, Bavaria, Upper Bavaria, München, Nymphenburger Park, von Café zur Marienklause,  O.","BSMlichenscoll",NA,"GBIF",NA,80,"Pyrenula nitida"
2270706101,"98bceab6-3c3e-4163-945d-6ca10576ebf1",15.466667,46.6,1986,"5",25,"Austria","570438","B.D. Ryan","ASU","Heiligengeistklamm",NA,"Styria","GBIF",NA,64,"Pyrenula nitida"
2237876253,"84d26682-f762-11e1-a439-00145eb45e9a",11.73532,54.83353,1984,"7",12,"Denmark","DMS-1014408","Mogens Skytte Christiansen",NA,"Majbølle",NA,NA,"GBIF",NA,82,"Pyrenula nitida"
2270755249,"98bceab6-3c3e-4163-945d-6ca10576ebf1",9.266667,48.416667,1981,"7",22,"Germany","570468","T.H. Nash III","ASU","Schwäbische Alb, Lichtenstein near Reutlingen, Locherstein",NA,"Baden-Württemberg","GBIF",NA,79,"Pyrenula nitida"
NA,NA,13.663245,54.572911,1979,"23 Aug.",NA,"GERMANY","6027","S. Huneck","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Rügen, auf abgestürzter Buche am Ufer der Stubbenkammer",NA,NA,"BERLIN_DB","B 60 0118732",77,"Pyrenula nitida"
2237878901,"84d26682-f762-11e1-a439-00145eb45e9a",11.66465,54.77403,1976,"5",20,"Denmark","DMS-1014381","Mogens Skytte Christiansen",NA,"Krenkerup Haveskov",NA,NA,"GBIF",NA,82,"Pyrenula nitida"
2237911852,"84d26682-f762-11e1-a439-00145eb45e9a",12.550935,54.960172,1976,"5",18,"Denmark","DMS-1043261","Mogens Skytte Christiansen",NA,"Sandskredsfald, Møns Klint",NA,NA,"GBIF",NA,81,"Pyrenula nitida"
2237909159,"84d26682-f762-11e1-a439-00145eb45e9a",9.750667,54.950635,1972,"2",12,"Denmark","DMS-1043449","Svanhildur Svane",NA,"Sandbjerg Gods",NA,NA,"GBIF",NA,82,"Pyrenula nitida"
NA,NA,19.012672,49.404432,1970,"9.7.1970",NA,NA,"M-0302863","J. Nowak","MUNICH_HTL","Poland, Western Beskids, Beskid Żywiecki Mts, Śrubita forest near Rajcza (distr. Żywiec)",NA,NA,"MUNICH_HTL",NA,47,"Pyrenula nitida"
