"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","DB","BBarcode"
442143208,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.956111,47.649445,1911,"7",16,"Germany","[Schwarzwald] Baden: Wald Atdorf - Rüttekopf","B 60 0024695 / 145644 / 90031","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143206,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1911,"9",17,"Germany","Baden:  4) Röttler Wald","B 60 0024618c / 149777 / 91548","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143204,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.904722,47.630554,1910,"6",15,"Germany","Baden: 2) Wehr","B 60 0024618a / 149771 / 91545","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143205,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.881667,47.773335,1910,"7",8,"Germany","Baden: 3) Wembach bei Schönau (Schwarzwald)","B 60 0024618b / 149775 / 91547","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143203,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.740833,47.644165,1910,"8",14,"Germany","Baden: 1) Steinen - Scheinberg","B 60 0024618 / 145642 / 90030","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
NA,NA,11.11666,47.5,1904,"8.1904",NA,"Deutschland","Partenkirchen",NA,"Zopf",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA
NA,NA,8.683733,49.404123,1903,"21.5.1903",NA,"Deutschland","Heidelberg",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA
911978759,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.05,46.133333,1899,"4",4,"Romania","Transsylvania, Langenthal","12246",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
788550619,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.653056,47.971111,1892,"9",NA,"Germany","Sauerlach","1307767","F. Arnold","Bayern","LD","General","GBIF",NA
788571432,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.653056,47.971111,1892,"9",14,"Germany","Sauerlach","1329318","Arnold","Bayern","LD","General","GBIF",NA
788574697,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.653056,47.971111,1892,"9",14,"Germany","Sauerlach","1332753","Arnold","Bayern","LD","General","GBIF",NA
NA,NA,8.683733,49.404123,1881,"2.5.1881",NA,NA,"Germany, Baden-Württemberg, Heidelberg","M-0302886","von Zwackh",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA
NA,NA,8.683733,49.404123,1878,"1878",NA,NA,"Germany, Baden-Württemberg, Heidelberg","M-0302887","von Zwackh",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA
788574195,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.42322,48.9469,1869,"7",NA,"Germany","No locality information available","1332213B","Krempelhuber","Bayern","LD","General","GBIF",NA
NA,NA,8.816827,51.783327,1865,"3.1865",NA,"Deutschland","Bad Lippspringe",NA,"Beckhaus",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA
911978714,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.777783,50.891667,1837,NA,NA,"Poland","vom Riesengebirge im Grünbusch","12245",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
