Barcode,Gattung,Epitheton,Collector(s),Collection number,Datum,Year,Loc,Hoehe,Long/lat,,,,,HTL_Notes,MPN_Notes,,,,,Status,MPN_Notes2
M-0302886,Hypotrachyna,revoluta,von Zwackh,,2.5.1881,1881,"Germany, Baden-Württemberg, Heidelberg",,,,,49.404123,8.683733,,,,,,,Keep,
M-0302887,Hypotrachyna,revoluta,von Zwackh,,1878,1878,"Germany, Baden-Württemberg, Heidelberg",,,,,49.404123,8.683733,,,,,,,Keep,
M-0163748,Hypotrachyna,afrorevoluta,A. Schröppel,,17.5.1956,1956,"Germany, Bavaria, Allgäu, Pfronten, Steinach",1200 m,,,,47.569483,10.564371,,used Steinach by Pfronten,,,,,Keep,
M-0163753,Hypotrachyna,afrorevoluta,A. Schröppel,,4.3.1953,1953,"Germany, Bavaria, Allgäu, Pfronten, Vilstal",940 m,,,,47.565849,10.481094,,used 940m along Vils near Pfronten,,,,,Keep,
M-0163737,Hypotrachyna,afrorevoluta,A. Schröppel,,15.8.1954,1954,"Germany, Bavaria, Allgäu, Pfronten, Reichenbach",1300 m,,,,47.547683,10.574982,,used 1300m along Reichenbach near Pfronten,,,,,Keep,
M-0302891,Fuscidea,lightfootii,von Zwackh,2744,,,"Germany, Baden-Württemberg, Heidelberg, Königskuhle",,,?Exs. 2744,,49.401316,8.732608,,used Königstuhl near Heidelberg,,,,,Keep,
M-0302892,Fuscidea,lightfootii,von Zwackh,,,,"Germany, Baden-Württemberg, Heidelberg, near Königskuhle",,,,,49.394752,8.705614,,placed between Königstuhl and Heidelberg,,,,,Keep,
M-0302893,Arthonia,pruinata,Roth,858b,12.6.1886,1886,"Germany, Hesse, near Darmstadt",,,?Exs. 858b,,49.871674,8.650271,,used Darmstadt,,,,,Keep,
M-0302894,Arthonia,pruinata,Auerswald,,,,"Germany, Saxonia, Leipzig",,,,,51.34419,12.386504,,,,,,,Keep,
M-0302895,Arthonia,pruinata,?Glovo,1861,9.1872,1872,"Slovenia, between Krakovo and Wato, near Unterkrain",,,,,46.576287,14.521414,,used Unterkrain and found on Google (now part of Austria),,,,,Keep,
M-0302896,Arthonia,pruinata,Bayrhoffer,149,,,"Germany, Hesse, Lorch",,,,,48.799788,9.689979,,,,,,,Keep,
M-0302897,Arthonia,pruinata,Metzler,,,,"Germany, Hesse, Frankfurt",,,,,50.130833,8.663611,,,,,,,Keep,
M-0302898,Diploicia,canescens,I. Pišút,98,19.8.1965,1965,"Slovakia, Ragačské kpce, Hajnáčka",350 m,,Lich. Slovak. Exs. 98,,48.216169,19.9524,,used Google,,,,,Keep,
M-0302899,Diploicia,canescens,J. Suza,270,1934,1934,"Czech Republic, Bohemia, Prague, near Jenerálka, in the Šárka valley",250 m,,"Suza, Lich. Bohem. Exs. 270",,50.108155,14.353428,,used Jenerálka and Google,,,,,Keep,
M-0302900,Diploicia,canescens,J. Suza,208,1932,1932,"Czech Republic, Mimoń, Ralsko",400 m,,"Suza, Lich. Bohem. Exs. 208",,50.61258,14.790919,,used Google,,,,,Keep,
M-0302901,Diploicia,canescens,J. Suza,237,1933,1933,"Slovakia, Ragačské kpce, Hajnáčka",350 m,,"Suza, Lich. Bohem. Exs. 237",,48.216169,19.9524,,used Google,,,,,Keep,
M-0034250,Fellhanera,bouteillei,J. Suza,222,1933,1933,"Czech Republic, Bohemia, Budńany at Berounka river, near Karlštejn",380 m,,"Suza, Lich. Bohem. Exs. 222",,49.933728,14.183188,,used Karlštejn and Google,,,,,Keep,
M-0034222,Fellhanera,bouteillei,Stein & Körber,403,,,"Poland, Silesia, near Jankowitz",,,"Körber, Lich. Sel. Germ. 403",,53.433333,20.133333,,used Jankowitz and found here: https://geographic.org/geographic_names/name.php?uni=-719373&fid=4772&c=poland,,,,,Keep,
M-0034280,Fellhanera,bouteillei,,,7.1886,1886,"Germany, Bavaria, Allgäu, Eglofs",,,,,47.662616,9.931172,,used Google,,,,,Keep,
M-0034287,Fellhanera,bouteillei,Arnold,,20.4.1895,1895,"Germany, Bavaria, Munich",,,,,48.15,11.583333,,,,,,,Keep,
M-0034285,Fellhanera,bouteillei,Arnold,,24.5.1892,1892,"Germany, Bavaria, Munich",,,,,48.15,11.583333,,,,,,,Keep,
M-0034286,Fellhanera,bouteillei,Arnold,,5.1897,1897,"Germany, Bavaria, Munich",,,,,48.15,11.583333,,,,,,,Keep,
M-0034283,Fellhanera,bouteillei,J. Poelt,,13.2.1960,1960,"Germany, Bavaria, Oberfranken, between Sachsenmühle and Gailenreuth",,,,,49.46476,11.17186,"Oberfranken, Gailenreuth",Perhaps between Sachsenmühle and Burggaillenreuth???,,,,,Keep,
M-0034284,Fellhanera,bouteillei,H. & H. Doppelbaur,,15.8.1969,1969,"Germany, Bavaria, Lkr. Günzburg, SE of Limbach",,,,,48.455989,10.276951,,used Günzburg,,,,,Keep,
M-0302902,Flavoparmelia,caperata,Hübschmann,,25.9.1960,1960,"Germany, Bavaria, Oberfranken, Mehringen an der Mosel",,,,,,,agreed - makes no sense. Either Oberfranken odr Mehringen,"Perhaps Mehring on the Moselle?  Looks like too far west to be in Oberfranken, though…",,,,,Drop,
