Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0029614,,Flavoparmelia,caperata,Flavoparmelia caperata,,,O. Behr,,3091,,28. Nov.,1948,50.565768,8.769435,,Keep,"DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Steinbach, Waldrand. Alt. 300 m.",alte Quercus.,,22807,,,GERMANY,,,,,,,,,,,,,,,,,,,,,300 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"HESSEN. Krs. Erbach-Odenwald. Steinbach, Waldrand.",
,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,V. J. Grummann,,4233,,1 Aug.,1951,,,Not clear where along Ostrach river this is (near Sonthofen),Drop,"DEUTSCHLAND, Bayern: Allgäuer Alpen, Osterachtal.",Bergahorn.,,115545,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,c.,10,E,47,N,22,30,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Bayern: Allgäuer Alpen, Osterachtal.",
B 60 0190609,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,Mar.,1952,49.398343,8.83544,used Dilsberg,Keep,"GERMANY, Baden-Württemberg: Odenwald. Herrenwald near Dilsberg.",On Fagus trunk.,,179217,,Parmelia caperata,GERMANY,,,,,,,,,8,E,49,N,49,23,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Odenwald. Herrenwald near Dilsberg.",
B 60 0146358,,Flavoparmelia,caperata,Flavoparmelia caperata,,,Th. Müller,,138,,18. April,1953,49.847362,7.178115,,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Hintzerath bei Morbach, an Linde.",,,97427,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Hintzerath bei Morbach, an Linde.",
B 60 0146386,,Flavoparmelia,caperata,Flavoparmelia caperata,,,Th. Müller,,138,,01. Juli,1954,50.336538,7.355672,,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Mayen, Welling, Schutzgebiet Horley, sonnige Schieferfelsen, SO, Unterdevon, häufig, Nettetal, SO-Eifel.",,,97421,,Parmelia caperata (L.) Ach. var. cylisphora Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Kr. Mayen, Welling, Schutzgebiet Horley, sonnige Schieferfelsen, SO, Unterdevon, häufig, Nettetal, SO-Eifel.",
,,Flavoparmelia,caperata,Flavoparmelia caperata,,,O. Behr,,10171,,24. Sept.,1956,,,,Drop,"DEUTSCHLAND, BADEN. Krs. Mosbach-Odenwald. Mosbach: Hardwald. Alt. 350 m.","Laubwald, Quercus.",,25602,,,GERMANY,,,,,,,,,,,,,,,,,,,,,350 m,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata,,,,PARMELIACEAE,LICHENES,BADEN. Krs. Mosbach-Odenwald. Mosbach: Hardwald.,
B 60 0174501,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,April,1958,49.42497,8.694327,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Heidelberg-Handschuhsheim, oberes Hellembachtal.",Baumrinde und Moose.,,178683,,Parmelia caperata,GERMANY,,,,,,,,,8,E,49,N,41,25,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Heidelberg-Handschuhsheim, oberes Hellembachtal.",
B 60 0174601,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,25. Mai,1958,49.408476,8.74285,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Granitfelsen am Wilckens-Felsen, Haarlaß-Heidelberg, schattiger Standort.",,,178724,,"Parmelia caperata (L.) Ach. fo. subglauca, vid. O. Klement",GERMANY,,,,,,,,,8,E,49,N,42,25,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Granitfelsen am Wilckens-Felsen, Haarlaß-Heidelberg, schattiger Standort.",
B 60 0190606,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,26 Oct.,1958,,,,Drop,"GERMANY, Baden-Württemberg: Nordbaden. Above Ursenbach in Odenwald, near Ludwigstal valley.",Be 138. On Quercus trees.,,179216,,Parmelia caperata,GERMANY,,,,,,,,,8,E,49,N,43,29,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden. Above Ursenbach in Odenwald, near Ludwigstal valley.",
B 60 0190503,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,H. Reznik,,,,28 dec.,1958,48.662047,8.18628,,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.",On old Castanea tree.,,179221,,Parmelia caperata,GERMANY,,,,,,,,,8,E,48,N,11,39,,,0,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordschwarzwald, Immenstein above Neusatzeck.",
